title,vote_average,vote_count,release_date,runtime,budget,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,keywords,revenue
Apocalypto,7.567,5049,2006-12-07,139.0,40000000.0,en,Apocalypto,"Set in the Mayan civilization, when a man's idyllic presence is brutally disrupted by a violent invading force, he is taken on a perilous journey to a world ruled by fear and oppression where a harrowing end awaits him. Through a twist of fate and spurred by the power of his love for his woman and his family he will make a desperate break to return home and to ultimately save his way of life.",51.114,No one can outrun their destiny.,"Action, Drama, History","Icon Entertainment International, Icon Productions, Touchstone Pictures","United Kingdom, United States of America",English,"loss of loved one, maya civilization, village, solar eclipse, slavery, tribe, native american, forest, human sacrifice, central america, ancient civilization, 16th century, ancient language film",120.673227
Open Water 2: Adrift,5.482,635,2006-07-10,94.0,1200000.0,en,Open Water 2: Adrift,A weekend cruise on a luxurious party yacht goes horribly wrong for a group of old high-school friends when they get stuck in the water many miles from shore and a happy reunion turns into a fight for survival.,14.635,Fatigue. Hypothermia. Death.,"Drama, Horror, Thriller","Peter Rommel Productions, Orange Pictures, UFA, Shotgun Pictures",Germany,"English, French","school friend, mexico, baby, drowning, loss of loved one, yacht, shark",6.816129
The Woman in Black,6.124,3272,2012-02-03,95.0,17000000.0,en,The Woman in Black,"The story follows a young lawyer, Arthur Kipps, who is ordered to travel to a remote village and sort out a recently deceased client’s papers. As he works alone in the client’s isolated house, Kipps begins to uncover tragic secrets, his unease growing when he glimpses a mysterious woman dressed only in black. Receiving only silence from the locals, Kipps is forced to uncover the true identity of the Woman in Black on his own, leading to a desperate race against time when he discovers her true identity.",20.153,What did they see?,"Drama, Horror, Thriller","Hammer Film Productions, Alliance Films, Talisman Productions, Filmgate Films, Film i Väst","Canada, Sweden, United Kingdom",English,"london, england, remake, revenge, lawyer, dead child, photograph, gothic horror, period drama, super power, estate, ghost",127.730736
The Mortal Instruments: City of Bones,6.435,4273,2013-08-21,130.0,60000000.0,en,The Mortal Instruments: City of Bones,"In New York City, Clary Fray, a seemingly ordinary teenager, learns that she is descended from a line of Shadowhunters — half-angel warriors who protect humanity from evil forces. After her mother disappears, Clary joins forces with a group of Shadowhunters and enters Downworld, an alternate realm filled with demons, vampires, and a host of other creatures. Clary and her companions must find and protect an ancient cup that holds the key to her mother's future.",27.548,You have been chosen,"Fantasy, Action, Mystery","Screen Gems, Unique Features, Mister Smith Entertainment, Don Carmody Productions, Constantin Film","Canada, Germany, United Kingdom, United States of America",English,"based on novel or book, angel, vampire, werewolf, warlock, downworlder, shadowhunter, demon hunter, based on young adult novel",95.396573
The Good Liar,6.687,1018,2019-11-08,109.0,10000000.0,en,The Good Liar,"Career con man Roy sets his sights on his latest mark: recently widowed Betty, worth millions. And he means to take it all. But as the two draw closer, what should have been another simple swindle takes on the ultimate stakes.",12.392,Read between the lies.,Crime,1000 Eyes,United Kingdom,"German, English, Russian","based on novel or book, con artist",33.856058
Bonnie and Clyde,7.5,1443,1967-08-14,111.0,2500000.0,en,Bonnie and Clyde,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",22.17,They’re young… they’re in love… and they kill people.,"Crime, Drama","Tatira-Hiller Productions, Warner Bros-Seven Arts",United States of America,English,"sheriff, waitress, ambush, prohibition era, submachine gun, texas, bank robber, oklahoma, impotence, missouri, texas ranger, crook couple, heist, fugitive, on the run, bank robbery, grave digger, nostalgic, crime spree, crime wave, bank heist, police shootout, frantic, public enemy, gun crime, runaway couple, mischievous, fugitive lovers, defiant, tragic",50.7
The Fox and the Hound,7.127,2964,1981-07-10,82.0,12000000.0,en,The Fox and the Hound,"When a feisty little fox named Tod is adopted into a farm family, he quickly becomes friends with a fun and adorable hound puppy named Copper. Life is full of hilarious adventures until Copper is expected to take on his role as a hunting dog -- and the object of his search is his best friend!",29.86,A story of two friends who didn't know they were supposed to be enemies.,"Adventure, Animation, Drama, Family",Walt Disney Productions,United States of America,English,"friendship, based on novel or book, fox, dog, animal, hunting, unlikely friendship, pets",29.8
Red State,6.1,860,2011-08-19,88.0,4000000.0,en,Red State,"Set in Middle America, a group of teens receive an online invitation for sex, though they soon encounter Christian fundamentalists with a much more sinister agenda.",15.019,Fear God.,"Horror, Action, Thriller","SModcast Pictures, NVSH Productions, Phase 4 Films, View Askew Productions",United States of America,English,"homophobia, christianity, pastor, protest, sign, social commentary, religious fundamentalism, aftercreditsstinger, duringcreditsstinger, gay theme",1.104682
Simpatico,5.0,29,1999-09-15,106.0,10000000.0,en,Simpatico,"As youths in Azusa, Vinnie, Carter, and Rosie pull off a racing scam, substituting winners for plodders and winning big bucks on long odds. When an official uncovers the scam, they set him up for blackmail. Jump ahead twenty years, Carter and Rosie are married, successful racers in Kentucky about to sell their prize stallion, Simpatico. Vinnie is a drunk in Pomona. Vinnie decides to make a play for Rosie, lures Carter to California, steals his wallet and heads for Kentucky with the original blackmail material. Carter begs Vinnie's friend, a grocery clerk named Cecilia, to follow Vinnie and get the stuff back that he has in a box. Will she succeed?",3.069,,"Comedy, Drama","Fine Line Features, Emotion Pictures, Zeal Pictures, Canal+","France, United Kingdom, United States of America",English,horse track,0.929606
The Wedding Planner,5.911,1543,2001-01-26,103.0,35000000.0,en,The Wedding Planner,"San Francisco's premiere wedding planner, Mary Fiore is rescued from an accident by the man of her dreams, paediatrician Steve Edison, only to find he is the fiancé of her latest client. As Mary continues making the wedding arrangements, she and Steve are put into a string of uncomfortable situations that force them to face their mutual attraction.",17.657,His big day is her big problem.,"Comedy, Romance","Tapestry Films, Dee Gee Entertainment, IMF Internationale Medien und Film GmbH & Co. Produktions KG, Intermedia Films, Prufrock Pictures, Columbia Pictures","Germany, United Kingdom, United States of America",English,"san francisco, california, arranged marriage, wedding planner, romantic comedy, doctor, wedding, heiress, childhood friends, chance meeting, damsel in distress, heroic rescue, pediatrician, single woman, italian immigrant, organized, new money, in love with someone's man, old movies, fake fiancé, immigrant parents",94.728529
Dominion: Prequel to The Exorcist,5.326,316,2005-05-20,117.0,30000000.0,en,Dominion: Prequel to The Exorcist,"Haunted by terrible acts the Nazis forced him to participate in, the disenchanted Father Lankester Merrin focuses his energies on helping with an archaeological dig in the northern part of Kenya. There, the crew uncovers a church that predates Christian missions into the area, but the discovery also causes strange events to start occurring -- including physical changes to a young, disabled boy, whom Merrin grows to suspect has been possessed by a demon.",20.328,"Go back before the beginning, to the place where evil was born.",Horror,Morgan Creek,United States of America,English,"nazi, faith, africa, exorcism, satan, prequel, remake, priest, church, archaeologist, crisis of faith, archaeological dig",0.251495
Human Nature,5.993,225,2001-09-12,96.0,6000000.0,en,Human Nature,"A philosophical burlesque, Human Nature follows the ups and downs of an obsessive scientist, a female naturalist, and the man they discover, born and raised in the wild. As scientist Nathan trains the wild man, Puff, in the ways of the world - starting with table manners - Nathan's lover Lila fights to preserve the man's simian past, which represents a freedom enviable to most.",9.643,In the Interest of Civilization … Conform.,"Drama, Comedy","Senator Film, Fine Line Features, StudioCanal, Good Machine, Beverly Detroit, Partizan","France, United States of America",English,"mentally disabled, individual, human evolution, experiment, small person, sexuality, philosophy, professor, mouse, arts and culture, civilization, sapient, ethologist, kaspar-hauser-syndrom, zoo, forest, author, hair, disabled",1.6
The Lawnmower Man,5.54,655,1992-03-05,108.0,10000000.0,en,The Lawnmower Man,A simple man is turned into a genius through the application of computer science.,13.087,God made him simple. Science made him a god.,"Science Fiction, Horror","Allied Vision, New Line Cinema","United Kingdom, Japan, United States of America",English,"dream, virtual reality, technology, chimp, manipulation, botanist, lemonade, revenge, cyberpunk, scientist, cyberspace, surveillance, based on short story, intelligent, world domination, supernatural power",32.100816
The Secret of Kells,7.406,608,2009-02-09,75.0,8000000.0,en,The Secret of Kells,"Adventure awaits 12 year old Brendan who must fight Vikings and a serpent god to find a crystal and complete the legendary Book of Kells. In order to finish Brother Aiden's book, Brendan must overcome his deepest fears on a secret quest that will take him beyond the abbey walls and into the enchanted forest where dangerous mythical creatures hide. Will Brendan succeed in his quest?",16.544,Turn the darkness into light,"Animation, Family, Fantasy","Cartoon Saloon, Gébéka Films, Les Armateurs, Vivi Film, France 2 Cinéma","Belgium, France, Ireland",English,"mythology, viking, barbarian, underwater, trapped, sea monster, woman director, irish folklore, 9th century, celtic mythology",1.803412
Night of the Living Dead,7.62,2173,1968-10-04,96.0,114000.0,en,Night of the Living Dead,"A disparate group of individuals takes refuge in an abandoned house when corpses begin to leave the graveyard in search of fresh human bodies to devour. The pragmatic Ben does his best to control the situation, but when the murderous zombies surround the house, the other survivors begin to panic.",22.412,"If it doesn't scare you, you're already dead!",Horror,Image Ten,United States of America,English,"sibling relationship, pennsylvania, usa, loss of loved one, gun, gas station, cemetery, cellar, house, barricade, zombie, black and white, trapped, bitten, farm house",30.0
Glee: The Concert Movie,7.302,253,2011-08-11,84.0,9000000.0,en,Glee: The Concert Movie,"A concert documentary shot during the Glee Live! In Concert! summer 2011 tour, featuring song performances and Glee fans' life stories and how the show influenced them.",11.619,The embodiment of popular culture.,"Music, Documentary, Family","Ryan Murphy Productions, 20th Century Fox, 20th Century Fox Television",United States of America,English,"concert, live performance, concert film, duringcreditsstinger, fandom, music documentary, based on tv series",18.663238
An Inconvenient Sequel: Truth to Power,6.685,146,2017-07-28,100.0,1000000.0,en,An Inconvenient Sequel: Truth to Power,"A decade after An Inconvenient Truth brought climate change into the heart of popular culture comes the riveting and rousing follow-up that shows just how close we are to a real energy revolution. Vice President Al Gore continues his tireless fight, traveling around the world training an army of climate champions and influencing international climate policy. Cameras follow him behind the scenes—in moments private and public, funny and poignant—as he pursues the empowering notion that while the stakes have never been higher, the perils of climate change can be overcome with human ingenuity and passion.",6.573,Fight like your world depends on it,Documentary,"Participant, Actual Films",United States of America,English,"self-destruction, climate change, global warming, apocalypse, destruction of planet, ecology, environmentalism, environmental destruction, climate observatory, destruction of earth, environmental issues, climate breakdown, climate change activism, habitat destruction, climate emergency, climate science, climate crisis, climate activism",5.398976
Boiling Point,5.02,100,1993-04-16,92.0,9000000.0,en,Boiling Point,"Red is an aging scam-artist who's just been released from prison together with Ronnie, a young and not-so-bright hoodlum who is easily manipulated. Their new business is to organize fake-money sales and then kill the buyer to take his money; but when Ronnie kills an undercover secret service agent, his partner Jimmy Mercer vows revenge and is given one week to catch the killers before being transferred. Written by Giancarlo Cairella",11.656,He's a cop who reached the Boiling Point,"Drama, Action, Crime, Thriller","StudioCanal, Warner Bros. Pictures",United States of America,English,"prison, hero, escape, undercover",10.058318
Mr. Smith Goes to Washington,7.882,935,1939-10-19,129.0,1500000.0,en,Mr. Smith Goes to Washington,"Naive and idealistic Jefferson Smith, leader of the Boy Rangers, is appointed to the United States Senate by the puppet governor of his state. He soon discovers, upon going to Washington, many shortcomings of the political process as his earnest goal of a national boys' camp leads to a conflict with the state political boss.",14.052,"Romance, drama, laughter and heartbreak... created out of the very heart and soil of America!","Comedy, Drama",Columbia Pictures,United States of America,English,"governor, washington dc, usa, senate, senator, sightseeing, politician, idealist, dam, camp, conservative, black and white, disillusionment, political corruption, integrity, usa politics, determination, filibuster, walkout, political machine, smear campaign, expulsion attempt",9.6
Ocean's Eight,6.985,7780,2018-06-07,111.0,70000000.0,en,Ocean's Eight,"Debbie Ocean, a criminal mastermind, gathers a crew of female thieves to pull off the heist of the century at New York's annual Met Gala.",30.268,Every con has its pros,"Crime, Comedy, Action","Village Roadshow Pictures, Warner Bros. Pictures, Larger Than Life Productions, Rahway Road Productions, Smoke House Pictures",United States of America,"English, German","new york city, heist, spin off, estranged sister, the met gala",297.718711
Poolhall Junkies,6.392,65,2002-06-30,99.0,4000000.0,en,Poolhall Junkies,A retired pool hustler is forced to pick up the stick again when his brother starts a game he can't finish.,7.427,It's your shot. Take it.,"Comedy, Drama, Thriller","Gold Circle Films, Cutting Edge Entertainment, Newman/Tooley Films",United States of America,English,"friendship, gambling, gun, pool billiards, hustler, money, revenge, lawyer, debt, pawnshop, poolhall",0.563711
Undercover Brother,5.842,335,2002-05-31,86.0,25000000.0,en,Undercover Brother,"An Afro-American organization, the B.R.O.T.H.E.R.H.O.O.D., is in permanent fight against a white organization ""The Man"" defending the values of the black people in North America. When the Afro-American candidate Gen. Warren Boutwell behaves strangely in his presidential campaign, Undercover Brother is hired to work undercover for ""The Man"" and find what happened with the potential candidate.",12.378,He's All Action,"Action, Comedy","Universal Pictures, Imagine Entertainment",United States of America,English,"double life, usa president, undercover, intelligence, satire, parody, partner, interracial relationship, spoof, blaxploitation cinema, racism, world domination, duringcreditsstinger",41.604473
Along with the Gods: The Last 49 Days,8.171,522,2018-08-01,141.0,18300000.0,ko,신과함께-인과 연,"As the deceased soul Ja-hong and his three afterlife guardians prepare for their remaining trials for reincarnation, the guardians soon come face to face with the truth of their tragic time on Earth 1,000 years earlier.",23.985,Unveiling millennium-old secrets.,"Fantasy, Action, Thriller, Adventure","Lotte Entertainment, Dexter Studios, Realies Pictures, Union Investment Partners, Korean Film Council, Art Service, Alpha Pictures","Hong Kong, South Korea",Korean,"afterlife, hell, trial, based on comic, god, grim reaper, myth, goryeo dynasty, based on webcomic or webtoon",112.79021
Underwater,6.298,2813,2020-01-08,95.0,50000000.0,en,Underwater,"After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time.",20.152,7 miles below the ocean surface something has awakened,"Horror, Science Fiction, Action, Adventure","Chernin Entertainment, 20th Century Fox, TSG Entertainment",United States of America,English,"monster, self sacrifice, deep sea, animal attack, giant monster, earthquake, survival, nuclear explosion, disaster, cryptozoology, female protagonist, underwater, survival horror, animal killing, creature feature, mechanical engineering, researcher, trapped underwater , 2050s",40.882928
Salvador,7.0,306,1986-04-23,123.0,4500000.0,en,Salvador,"Set in the 1980s, an American journalist covering the Salvadoran Civil War becomes entangled with both the leftist guerrilla groups and the right-wing military dictatorship while trying to rescue his girlfriend and her children.",9.389,"Dateline: 1980, El Salvador. Correspondent: Richard Boyle, Photojournalist - Guatemala, Iran, Vietnam, Chile, Belfast, Lebanon, Cambodia...","Drama, War, Thriller",Hemdale Film,"United Kingdom, United States of America","Spanish, English","guerrilla warfare, journalist, civil war, loss of loved one, dictator, war correspondent, revolution, civil rights, dictatorship, picture journalist, el salvador, confession booth",1.5
The Blue Lagoon,6.155,1670,1980-07-05,104.0,4500000.0,en,The Blue Lagoon,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",22.65,A story of natural love.,"Romance, Adventure",Columbia Pictures,United States of America,English,"sexual identity, shipwreck, lovers, stranded, marooned, pacific island, deserted island, tropical island, lost at sea",58.853106
Paddington,7.061,3356,2014-11-24,96.0,55000000.0,en,Paddington,"A young Peruvian bear travels to London in search of a new home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family.",22.74,The adventure begins.,"Comedy, Adventure, Family","Heyday Films, StudioCanal, Anton Capital Entertainment, TF1 Films Production, Canal+, Ciné+, TF1, The Weinstein Company, Dimension Films","France, United Kingdom, United States of America",English,"london, england, based on novel or book, peru, anthropomorphism, bear, based on children's book, family, talking to animals, children's book, taxidermist, live action and animation, personification, natural history museum",259.207227
Under Suspicion,6.091,408,2000-08-24,110.0,25000000.0,en,Under Suspicion,"A lawyer is asked to come to the police station to clear up a few loose ends in his witness report of a foul murder. ""This will only take ten minutes"", they say, but it turns out to be one loose end after another, and the ten minutes he is away from his speech become longer and longer.",11.914,"In a world of secrets, the truth is never what it seems.","Thriller, Crime, Drama","TF1 International, Revelations Entertainment",United States of America,"Spanish, English, Italian","rape, suspicion of murder, jogging, sexual murder, serial killer, lawyer, murder hunt, gaslighting",1.308242
The Namesake,6.795,146,2006-09-02,122.0,12000000.0,en,The Namesake,"After moving from Calcutta to New York, members of the Ganguli family maintain a delicate balancing act between honoring the traditions of their native India and blending into American culture. Although parents Ashoke and Ashima are proud of the sacrifices they make to give their children opportunities, their son Gogol strives to forge his own identity without forgetting his heritage.",11.639,Two Worlds. One Journey.,Drama,"Fox Searchlight Pictures, Mirabai Films","India, United States of America","English, Bengali, French, Hindi, Czech","new york city, based on novel or book, arranged marriage, india, woman director, immigrant experience, taj mahal, india, kolkata, india",20.354321
Welcome to the Sticks,6.667,2275,2008-02-20,106.0,11000000.0,fr,Bienvenue chez les Ch'tis,"Although living a comfortable life in Salon-de-Provence, a charming town in the South of France, Julie has been feeling depressed for a while. To please her, Philippe Abrams, a post office administrator, her husband, tries to obtain a transfer to a seaside town, on the French Riviera, at any cost. The trouble is that he is caught red-handed while trying to scam an inspector. Philippe is immediately banished to the distant unheard of town of Bergues, in the Far North of France...",19.2,,"Comedy, Drama, Romance","TF1 Films Production, Pathé Renn Productions, Hirsch, Les Productions du Chicon, CNC, Centre Régional des Ressources Audiovisuelles (CRRAV), CinéCinéma, Région Nord-Pas-de-Calais, Canal+",France,French,"jealousy, clock tower, provence, southern france, lie, postman, mama's boy, bias, local speciality, relocation, prejudice, cultural difference, job transfer, northern france, bell tower, postal worker, hospitality, community spirit, dialect, small community, wine drinking, unhappy marriage, social prejudices, accents, disability fraud",245.144417
Out Cold,5.846,156,2001-11-21,89.0,24000000.0,en,Out Cold,"Rick Rambis and his friends are having the time of their lives on Bull Mountain—until the legendary Papa Muntz' son decides to sell the mountain to a sleazy land developer, have the staff fired and turn Bull Mountain into 'Yuppieville'.",10.835,"They haven't quite figured it all out, but they're getting a little warmer.",Comedy,"The Donners' Company, Spyglass Entertainment, Touchstone Pictures, Epsilon Motion Pictures",United States of America,English,"airplane, sports, alcohol, manager, mountain, gondola, snowboarding, father, races, prank, drug humor, alaska, hot tub, ski resort",14.782676
Return to Oz,6.698,951,1985-06-21,109.0,25000000.0,en,Return to Oz,"Dorothy, saved from a psychiatric experiment by a mysterious girl, finds herself back in the land of her dreams, and makes delightful new friends, and dangerous new enemies.",17.736,An all-new adventure down the yellow brick road.,"Adventure, Family, Fantasy","Oz Productions Ltd., Silver Screen Partners II","United Kingdom, United States of America",English,"princess, donkey, electric shock, sequel, pumpkin, imaginary land, mental institution, mechanical, based on young adult novel, mirror",11.137801
P2,6.2,749,2007-11-09,98.0,3500000.0,en,P2,A businesswoman finds herself locked with a unhinged security guard in a parking garage after getting stuck working late on Christmas Eve.,12.754,A new level of terror.,"Horror, Thriller",Summit Entertainment,United States of America,English,"kidnapping, psychopath, basement garage, parking garage, security guard, executive, christmas",7.76624
Special 26,7.326,170,2013-02-07,144.0,7100000.0,hi,स्पेशल 26,"In the early 1980s in India, a group of con artists rob well-known businessmen and politicians by posing as officers of the Central Bureau of Intelligence or income tax officials. The gang stages fake raids during which they steal great amounts of money from their targets.",7.54,Real power resides within the heart,"Crime, Drama, Thriller",Friday Filmworks,India,Hindi,"heist, con artist, theft",18.0
Sweet November,6.862,1190,2001-02-16,119.0,40000000.0,en,Sweet November,"Nelson is a man devoted to his advertising career in San Francisco. One day, while taking a driving test at the DMV, he meets Sara. She is very different from the other women in his life. Nelson causes her to miss out on taking the test and later that day she tracks him down. One thing leads to another and Nelson ends up living with her through a November that will change his life forever.",11.877,She Just Needed A Month To Change His Life Forever.,"Drama, Romance","Bel Air Entertainment, Warner Bros. Pictures, 3 Arts Entertainment",United States of America,"English, French","workaholic, dogsitter, valentine's day",65.754228
"Mommies, Happy New Year!",5.632,19,2012-12-27,90.0,2000000.0,ru,"С новым годом, мамы!","A continuation of a famous Russian comedy ""Mamy"" (""Mommies"").",1.714,,"Comedy, Drama",Enjoy Movies,Russia,Russian,,11.666088
Devdas,7.537,298,2002-07-11,185.0,6663555.0,hi,देवदास,"After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.",14.692,A grand saga of timeless love.,"Drama, Romance","V.I.P. Films, Mega Bollywood Private Limited",India,Hindi,"based on novel or book, courtesan, remake, calcutta, family disapproval, childhood sweetheart, 1900s, kolkata, india",13.311117
Housefull 2,5.457,92,2012-04-05,145.0,6071922.0,hi,हाउसफुल २,A comedy of errors wherein four men help each other to fool their prospective father-in-laws creating a cascade of confusion and mayhem.,8.247,,"Comedy, Romance","Nadiadwala Grandson Entertainment, Eros Worldwide",India,Hindi,,25.097277
That's My Boy,5.785,1731,2012-06-14,116.0,70000000.0,en,That's My Boy,"While in his teens, Donny fathered a son, Todd, and raised him as a single parent up until Todd's 18th birthday. Now, after not seeing each other for years, Todd's world comes crashing down when Donny resurfaces just before Todd's wedding.",58.135,The story of a child… and his son.,Comedy,"Relativity Media, Columbia Pictures, Happy Madison Productions",United States of America,English,"infidelity, statutory rape, incest, teacher student relationship, deadbeat dad, female pedophile",58.058367
Burnt by the Sun,7.143,147,1994-05-01,135.0,2800000.0,ru,Утомлённые солнцем,"Russia, 1936: revolutionary hero Colonel Kotov is spending an idyllic summer in his dacha with his young wife and six-year-old daughter Nadia and other assorted family and friends. Things change dramatically with the unheralded arrival of Cousin Dmitri from Moscow, who charms the women and little Nadia with his games and pianistic bravura. But Kotov isn't fooled: this is the time of Stalin's repression, with telephone calls in the middle of the night spelling doom - and he knows that Dmitri isn't paying a social call...",9.095,A moving and poignant story set against the corrupt politics of the Stalinist era.,Drama,"Caméra One, Canal+, Studio Trite","France, Russia",Russian,"husband wife relationship, colonel",2.616503
The Soloist,6.686,717,2009-04-24,109.0,60000000.0,en,The Soloist,"A Los Angeles journalist befriends a homeless Juilliard-trained musician, while looking for a new article for the paper.",14.748,Life has a mind of its own,"Drama, Music","Working Title Films, DreamWorks Pictures, Universal Pictures, StudioCanal, Participant, Krasnoff / Foster Entertainment","France, United States of America, United Kingdom",English,"newspaper, violin, cello, los angeles, california",38.332994
The Card Player,4.4,200,2004-01-02,103.0,2600000.0,it,Il cartaio,"Policewoman Anna Mari is forced to play a dangerous game with the title serial killer. If she loses, she witnesses the maniac's tortured victims having their throats cut in explicit close-up detail via webcam. She teams up with British cop John Brennan to find out the identity of the murderer.",7.388,A serial killer with a vice for Video Poker,"Horror, Mystery, Thriller","Opera Film (II), Medusa Film",Italy,"Italian, English","police, italian, snuff, serial killer, slasher, whodunit, card playing, video poker",3.368452
